       173--2013.0814.2214.55       114    ---    [0.5081937166]       [            Neptune]  binovile         [Siri               ]
       174--2013.0814.2214.55       114    ---    [0.5154876263]       [             Chiron]  square           [Photographia       ]
       175--2013.0814.2214.55       114    ---    [0.5191400061]       [              Venus]  conjunct         [Galilea            ]
       176--2013.0814.2214.55       114    ---    [0.5208287336]       [           Laetitia]  square           [Chaldea            ]
       177--2013.0814.2214.55       114    ---    [0.5208768732]       [             Chiron]  sesqisquare      [Felicitas          ]
       178--2013.0814.2214.55       114    ---    [0.5299520758]       [            Mercury]  sesqisquare      [Fides              ]
       179--2013.0814.2214.55       114    ---    [0.5317891856]       [               Eros]  sesqisquare      [Bella              ]
       180--2013.0814.2214.55       114    ---    [0.5340008493]       [             Pholus]  sesqisquare      [Constantia         ]
       181--2013.0814.2214.55       114    ---    [0.5394095679]       [             Uranus]  quincunx         [Aeternitas         ]
       182--2013.0814.2214.55       114    ---    [0.5416006941]       [              Ceres]  square           [Hestia             ]
       183--2013.0814.2214.55       114    ---    [0.5436838749]       [               Juno]  sesqisquare      [Fortuna            ]
       184--2013.0814.2214.55       114    ---    [0.5440554348]       [              Vesta]  semisextile      [Chaldea            ]
       185--2013.0814.2214.55       114    ---    [0.5459163394]       [             Unitas]  semisquare       [Pax                ]
       186--2013.0814.2214.55       114    ---    [0.5465913557]       [                Sun]  novile           [Fiducia            ]
       187--2013.0814.2214.55       114    ---    [0.5481011585]       [             Uranus]  quintile         [Fortuna            ]
       188--2013.0814.2214.55       114    ---    [0.5520718208]       [            Jupiter]  biquintile       [Cupido             ]
       189--2013.0814.2214.55       114    ---    [0.5544534645]       [            Mercury]  semisquare       [Galilea            ]
       190--2013.0814.2214.55       114    ---    [0.5554764407]       [             Pholus]  quincunx         [Concordia          ]
       191--2013.0814.2214.55       114    ---    [0.5596406191]       [        Philosophia]  conjunct         [Venusia            ]
       192--2013.0814.2214.55       114    ---    [0.5736486258]       [            Jupiter]  square           [Lust               ]
       193--2013.0814.2214.55       114    ---    [0.5743882668]       [             Saturn]  semisextile      [Cupido             ]
       194--2013.0814.2214.55       114    ---    [0.5888725464]       [              Ceres]  semisquare       [Eunomia            ]
       195--2013.0814.2214.55       114    ---    [0.5902903922]       [             Chiron]  biquintile       [Laetitia           ]
       196--2013.0814.2214.55       114    ---    [0.5942632538]       [               Moon]  novile           [Laetitia           ]
       197--2013.0814.2214.55       114    ---    [0.5965595413]       [             Adorea]  biquintile       [Aeternitas         ]
       198--2013.0814.2214.55       115    ---    [0.5967239285]       [          Felicitas]  semisextile      [Galilea            ]
       199--2013.0814.2214.55       115    ---    [0.5996575829]       [            Jupiter]  binovile         [Felicia            ]
       200--2013.0814.2214.55       115    ---    [0.6023273154]       [               Juno]  semisextile      [Kama               ]
       201--2013.0814.2214.55       115    ---    [0.6171350640]       [              Bella]  quincunx         [Anteros            ]
       202--2013.0814.2214.55       115    ---    [0.6181876805]       [         Aeternitas]  quincunx         [Aphrodite          ]
       203--2013.0814.2214.55       115    ---    [0.6195549652]       [            Neptune]  sextile          [Desiderata         ]
       204--2013.0814.2214.55       115    ---    [0.6222272272]       [  North Node (true)]  quincunx         [Photographia       ]
       205--2013.0814.2214.55       115    ---    [0.6231142504]       [            Fortuna]  quatronovile     [Cupido             ]
       206--2013.0814.2214.55       115    ---    [0.6315115347]       [            Fortuna]  novile           [Constantia         ]
       207--2013.0814.2214.55       115    ---    [0.6331599621]       [              Ceres]  novile           [Sophia             ]
       208--2013.0814.2214.55       115    ---    [0.6343201200]       [          Concordia]  biquintile       [Lust               ]
       209--2013.0814.2214.55       115    ---    [0.6348099805]       [             Chiron]  quatronovile     [Fiducia            ]
       210--2013.0814.2214.55       115    ---    [0.6356823014]       [              Venus]  binovile         [Pholus             ]
       211--2013.0814.2214.55       115    ---    [0.6443337805]       [           Ambrosia]  sesqisquare      [Adorea             ]
       212--2013.0814.2214.55       115    ---    [0.6458196731]       [             Pholus]  quincunx         [Philosophia        ]
       213--2013.0814.2214.55       115    ---    [0.6499838515]       [          Concordia]  sextile          [Venusia            ]
       214--2013.0814.2214.55       115    ---    [0.6517217411]       [      Pallas Athene]  quincunx         [Siri               ]
       215--2013.0814.2214.55       115    ---    [0.6579725940]       [            Chaldea]  novile           [Valentine          ]
       216--2013.0814.2214.55       115    ---    [0.6591084443]       [            Mercury]  square           [North Node (true)  ]
       217--2013.0814.2214.55       115    ---    [0.6669790615]       [             Sappho]  quatronovile     [Desiderata         ]
       218--2013.0814.2214.55       115    ---    [0.6681009568]       [            Fortuna]  quintile         [Amicitia           ]
       219--2013.0814.2214.55       115    ---    [0.6689307255]       [       Photographia]  binovile         [Fidelio            ]
       220--2013.0814.2214.55       115    ---    [0.6711612681]       [             Hestia]  sesqisquare      [Eros               ]
       221--2013.0814.2214.55       115    ---    [0.6767925474]       [           Amicitia]  quincunx         [Aeternitas         ]
       222--2013.0814.2214.55       115    ---    [0.6805231202]       [            Chaldea]  sextile          [Amor               ]
       223--2013.0814.2214.55       115    ---    [0.6809727765]       [              Ceres]  square           [Bella              ]
       224--2013.0814.2214.55       115    ---    [0.6977061159]       [               Mars]  biquintile       [Siri               ]
       225--2013.0814.2214.55       115    ---    [0.7025574277]       [           Laetitia]  binovile         [Unitas             ]
       226--2013.0814.2214.55       115    ---    [0.7052631390]       [             Pholus]  trine            [Vesta              ]
       227--2013.0814.2214.55       115    ---    [0.7118676745]       [             Hestia]  quatronovile     [Desiderata         ]
       228--2013.0814.2214.55       115    ---    [0.7149979646]       [          Felicitas]  quintile         [Compassion         ]
       229--2013.0814.2214.55       115    ---    [0.7181787038]       [           Ambrosia]  opposition       [Fidelio            ]
       230--2013.0814.2214.55       115    ---    [0.7247305331]       [      Pallas Athene]  square           [Amicitia           ]
       231--2013.0814.2214.55       115    ---    [0.7369026517]       [             Urania]  binovile         [Unitas             ]
       232--2013.0814.2214.55       115    ---    [0.7461324360]       [              Pluto]  opposition       [Eros               ]
       233--2013.0814.2214.55       115    ---    [0.7533861137]       [               Siri]  trine            [Compassion         ]
       234--2013.0814.2214.55       115    ---    [0.7565071464]       [             Hestia]  quincunx         [Anteros            ]
       235--2013.0814.2214.55       115    ---    [0.7565118847]       [          Felicitas]  quincunx         [Oceana             ]
       236--2013.0814.2214.55       115    ---    [0.7603921269]       [               Moon]  opposition       [Oceana             ]
       237--2013.0814.2214.55       115    ---    [0.7682386025]       [             Thalia]  novile           [Amicitia           ]
       238--2013.0814.2214.55       115    ---    [0.7712089377]       [            Jupiter]  conjunct         [Eros               ]
       239--2013.0814.2214.55       115    ---    [0.7716346178]       [             Adorea]  sextile          [Cupido             ]
       240--2013.0814.2214.55       115    ---    [0.7733402815]       [                Sun]  semisextile      [Mars               ]
       241--2013.0814.2214.55       115    ---    [0.7734175574]       [             Thalia]  sesqisquare      [Chaldea            ]
       242--2013.0814.2214.55       115    ---    [0.7746505103]       [            Mercury]  quatronovile     [Thalia             ]
       243--2013.0814.2214.55       115    ---    [0.7830362133]       [               Juno]  quatronovile     [Chaldea            ]
       244--2013.0814.2214.55       115    ---    [0.7833353999]       [      Pallas Athene]  quincunx         [Aphrodite          ]
       245--2013.0814.2214.55       115    ---    [0.7841160480]       [             Sappho]  sextile          [Sweet              ]
       246--2013.0814.2214.55       115    ---    [0.7929860983]       [               Moon]  sesqisquare      [Pallas Athene      ]
       247--2013.0814.2214.55       115    ---    [0.8034269425]       [             Sophia]  quincunx         [Desiderata         ]
       248--2013.0814.2214.55       115    ---    [0.8072077862]       [             Uranus]  opposition       [Lust               ]
       249--2013.0814.2214.55       115    ---    [0.8286476921]       [             Oceana]  semisquare       [Amicitia           ]
       250--2013.0814.2214.55       115    ---    [0.8296028585]       [             Saturn]  novile           [Sweet              ]
       251--2013.0814.2214.55       115    ---    [0.8315401443]       [            Neptune]  binovile         [Sweet              ]
       252--2013.0814.2214.55       115    ---    [0.8415801315]       [             Saturn]  semisquare       [Ambrosia           ]
       253--2013.0814.2214.55       115    ---    [0.8417308244]       [             Pholus]  quincunx         [Amor               ]
       254--2013.0814.2214.55       115    ---    [0.8435173667]       [               Juno]  quincunx         [Eros               ]
       255--2013.0814.2214.55       115    ---    [0.8448996159]       [                Sun]  trine            [Felicia            ]
       256--2013.0814.2214.55       115    ---    [0.8512397570]       [         Desiderata]  quatronovile     [Bella              ]
       257--2013.0814.2214.55       115    ---    [0.8522347376]       [            Fidelio]  novile           [Aphrodite          ]
       258--2013.0814.2214.55       115    ---    [0.8536695295]       [               Mars]  quintile         [Adonis             ]
       259--2013.0814.2214.55       115    ---    [0.8587988019]       [             Sappho]  semisextile      [Pax                ]
       260--2013.0814.2214.55       115    ---    [0.8607797057]       [             Thalia]  quatronovile     [Ambrosia           ]
       261--2013.0814.2214.55       115    ---    [0.8623560574]       [             Psyche]  square           [Compassion         ]
       262--2013.0814.2214.55       115    ---    [0.8630796026]       [            Neptune]  sesqisquare      [Chaldea            ]
       263--2013.0814.2214.55       115    ---    [0.8660965654]       [            Mercury]  semisextile      [Aeternitas         ]
       264--2013.0814.2214.55       115    ---    [0.8682585575]       [            Neptune]  novile           [Amicitia           ]
       265--2013.0814.2214.55       115    ---    [0.8691716594]       [            Eunomia]  binovile         [Venusia            ]
       266--2013.0814.2214.55       115    ---    [0.8979658432]       [            Jupiter]  binovile         [Fiducia            ]
       267--2013.0814.2214.55       115    ---    [0.9028827586]       [             Sophia]  sextile          [Cupido             ]
       268--2013.0814.2214.55       115    ---    [0.9029777825]       [       Photographia]  square           [Aeternitas         ]
       269--2013.0814.2214.55       115    ---    [0.9083670294]       [          Felicitas]  semisquare       [Aeternitas         ]
       270--2013.0814.2214.55       115    ---    [0.9098154116]       [          Felicitas]  quatronovile     [Amor               ]
       271--2013.0814.2214.55       115    ---    [0.9129284703]       [              Ceres]  sextile          [Fortuna            ]
       272--2013.0814.2214.55       115    ---    [0.9150974701]       [           Laetitia]  quincunx         [Concordia          ]
       273--2013.0814.2214.55       115    ---    [0.9156826538]       [             Sappho]  opposition       [Amicitia           ]
       274--2013.0814.2214.55       115    ---    [0.9195815446]       [            Fiducia]  conjunct         [Adonis             ]
       275--2013.0814.2214.55       115    ---    [0.9201800831]       [               Moon]  sextile          [Galilea            ]
       276--2013.0814.2214.55       115    ---    [0.9288632450]       [               Juno]  sesqisquare      [Anteros            ]
       277--2013.0814.2214.55       115    ---    [0.9291453792]       [               Moon]  biquintile       [Felicia            ]
       278--2013.0814.2214.55       115    ---    [0.9298307814]       [            Galilea]  sesqisquare      [Aphrodite          ]
       279--2013.0814.2214.55       115    ---    [0.9308540817]       [             Thalia]  quincunx         [Fiducia            ]
       280--2013.0814.2214.55       115    ---    [0.9331182407]       [             Chiron]  novile           [Felicia            ]
       281--2013.0814.2214.55       115    ---    [0.9332805286]       [             Uranus]  quintile         [Anteros            ]
